,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
393,1986,11,tyrrell,5.0,0.0,7.0
394,1986,11,brabham,2.0,0.0,8.0
395,1986,11,arrows,0.0,0.0,9.0
396,1986,11,lola,0.0,0.0,10.0
397,1986,11,zakspeed,0.0,0.0,11.0
398,1986,11,osella,0.0,0.0,12.0
399,1986,11,minardi,0.0,0.0,13.0
400,1986,12,williams,102.0,7.0,1.0
401,1986,12,mclaren,63.0,2.0,2.0
402,1986,12,team_lotus,50.0,2.0,3.0
403,1986,12,ligier,28.0,0.0,4.0
404,1986,12,ferrari,16.0,0.0,5.0
405,1986,12,benetton,8.0,0.0,6.0
406,1986,12,tyrrell,6.0,0.0,7.0
407,1986,12,lola,0.0,0.0,10.0
408,1986,12,brabham,2.0,0.0,8.0
409,1986,12,arrows,0.0,0.0,9.0
410,1986,12,zakspeed,0.0,0.0,11.0
411,1986,12,osella,0.0,0.0,12.0
412,1986,12,minardi,0.0,0.0,13.0
413,1986,13,williams,102.0,7.0,1.0
414,1986,13,mclaren,72.0,3.0,2.0
415,1986,13,team_lotus,50.0,2.0,3.0
416,1986,13,ferrari,26.0,0.0,5.0
417,1986,13,ligier,28.0,0.0,4.0
418,1986,13,benetton,8.0,0.0,6.0
419,1986,13,lola,5.0,0.0,8.0
420,1986,13,tyrrell,6.0,0.0,7.0
421,1986,13,brabham,2.0,0.0,9.0
422,1986,13,arrows,1.0,0.0,10.0
423,1986,13,zakspeed,0.0,0.0,11.0
424,1986,13,osella,0.0,0.0,12.0
425,1986,13,minardi,0.0,0.0,13.0
426,1986,13,ags,0.0,0.0,0.0
427,1986,14,williams,117.0,8.0,1.0
428,1986,14,mclaren,75.0,3.0,2.0
429,1986,14,team_lotus,50.0,2.0,3.0
430,1986,14,ferrari,30.0,0.0,4.0
431,1986,14,ligier,28.0,0.0,5.0
432,1986,14,benetton,10.0,0.0,6.0
433,1986,14,lola,6.0,0.0,7.0
434,1986,14,tyrrell,6.0,0.0,8.0
435,1986,14,brabham,2.0,0.0,9.0
