,season,round,circuit_id,lat,long,country,date,url
169,1995,10,hungaroring,47.5789,19.2486,Hungary,1995-08-13,http://en.wikipedia.org/wiki/1995_Hungarian_Grand_Prix
170,1995,11,spa,50.4372,5.97139,Belgium,1995-08-27,http://en.wikipedia.org/wiki/1995_Belgian_Grand_Prix
171,1995,12,monza,45.6156,9.28111,Italy,1995-09-10,http://en.wikipedia.org/wiki/1995_Italian_Grand_Prix
172,1995,13,estoril,38.7506,-9.39417,Portugal,1995-09-24,http://en.wikipedia.org/wiki/1995_Portuguese_Grand_Prix
173,1995,14,nurburgring,50.3356,6.9475,Germany,1995-10-01,http://en.wikipedia.org/wiki/1995_European_Grand_Prix
174,1995,15,okayama,34.915,134.221,Japan,1995-10-22,http://en.wikipedia.org/wiki/1995_Pacific_Grand_Prix
175,1995,16,suzuka,34.8431,136.541,Japan,1995-10-29,http://en.wikipedia.org/wiki/1995_Japanese_Grand_Prix
176,1995,17,adelaide,-34.9272,138.617,Australia,1995-11-12,http://en.wikipedia.org/wiki/1995_Australian_Grand_Prix
177,1996,1,albert_park,-37.8497,144.968,Australia,1996-03-10,http://en.wikipedia.org/wiki/1996_Australian_Grand_Prix
178,1996,2,interlagos,-23.7036,-46.6997,Brazil,1996-03-31,http://en.wikipedia.org/wiki/1996_Brazilian_Grand_Prix
179,1996,3,galvez,-34.6943,-58.4593,Argentina,1996-04-07,http://en.wikipedia.org/wiki/1996_Argentine_Grand_Prix
180,1996,4,nurburgring,50.3356,6.9475,Germany,1996-04-28,http://en.wikipedia.org/wiki/1996_European_Grand_Prix
181,1996,5,imola,44.3439,11.7167,Italy,1996-05-05,http://en.wikipedia.org/wiki/1996_San_Marino_Grand_Prix
182,1996,6,monaco,43.7347,7.42056,Monaco,1996-05-19,http://en.wikipedia.org/wiki/1996_Monaco_Grand_Prix
183,1996,7,catalunya,41.57,2.26111,Spain,1996-06-02,http://en.wikipedia.org/wiki/1996_Spanish_Grand_Prix
184,1996,8,villeneuve,45.5,-73.5228,Canada,1996-06-16,http://en.wikipedia.org/wiki/1996_Canadian_Grand_Prix
185,1996,9,magny_cours,46.8642,3.16361,France,1996-06-30,http://en.wikipedia.org/wiki/1996_French_Grand_Prix
186,1996,10,silverstone,52.0786,-1.01694,UK,1996-07-14,http://en.wikipedia.org/wiki/1996_British_Grand_Prix
187,1996,11,hockenheimring,49.3278,8.56583,Germany,1996-07-28,http://en.wikipedia.org/wiki/1996_German_Grand_Prix
188,1996,12,hungaroring,47.5789,19.2486,Hungary,1996-08-11,http://en.wikipedia.org/wiki/1996_Hungarian_Grand_Prix
189,1996,13,spa,50.4372,5.97139,Belgium,1996-08-25,http://en.wikipedia.org/wiki/1996_Belgian_Grand_Prix
190,1996,14,monza,45.6156,9.28111,Italy,1996-09-08,http://en.wikipedia.org/wiki/1996_Italian_Grand_Prix
191,1996,15,estoril,38.7506,-9.39417,Portugal,1996-09-22,http://en.wikipedia.org/wiki/1996_Portuguese_Grand_Prix
192,1996,16,suzuka,34.8431,136.541,Japan,1996-10-13,http://en.wikipedia.org/wiki/1996_Japanese_Grand_Prix
193,1997,1,albert_park,-37.8497,144.968,Australia,1997-03-09,http://en.wikipedia.org/wiki/1997_Australian_Grand_Prix
194,1997,2,interlagos,-23.7036,-46.6997,Brazil,1997-03-30,http://en.wikipedia.org/wiki/1997_Brazilian_Grand_Prix
195,1997,3,galvez,-34.6943,-58.4593,Argentina,1997-04-13,http://en.wikipedia.org/wiki/1997_Argentine_Grand_Prix
